id,carat,cut,color,clarity,depth,table,x,y,z,price
22609,1.01,Premium,G,SI2,62.5,60.0,6.39,6.34,3.98,4327
20942,1.21,Premium,F,VS2,61.6,58.0,6.88,6.79,4.21,8660
10110,0.7,Premium,G,IF,60.0,59.0,5.75,5.79,3.46,3447
5139,0.51,Ideal,E,SI2,63.0,56.0,5.14,5.12,3.23,1170
25444,0.7,Ideal,G,VS1,61.5,56.0,5.7,5.75,3.52,3065
10530,0.73,Fair,D,SI1,64.5,56.0,5.7,5.65,3.66,2539
17230,1.51,Very Good,G,VS1,59.5,59.0,7.41,7.45,4.42,14028
21678,1.59,Ideal,J,VVS2,60.3,57.0,7.65,7.58,4.59,8227
3609,1.27,Ideal,J,VS2,61.8,54.0,6.95,6.98,4.31,5285
11322,0.93,Good,D,SI2,64.5,58.0,6.11,6.14,3.95,3839
11046,0.91,Fair,E,SI1,65.0,62.0,6.09,6.04,3.94,4256
23918,0.4,Ideal,H,VVS1,62.3,54.0,4.74,4.77,2.96,1017
12353,0.33,Ideal,H,VVS2,62.2,56.0,4.46,4.44,2.77,854
18789,0.42,Ideal,G,VVS1,61.4,56.0,4.83,4.81,2.96,1235
15843,0.42,Ideal,E,VS2,62.1,56.0,4.8,4.77,2.97,1024
10384,0.55,Good,F,SI1,64.3,57.9,5.16,5.21,3.33,1400
25920,0.41,Ideal,D,VS2,62.2,54.0,4.77,4.81,2.98,1007
9333,0.4,Premium,H,SI1,62.6,58.0,4.72,4.68,2.94,855
2653,0.31,Ideal,E,IF,63.0,55.0,4.34,4.37,2.73,1214
1399,2.49,Fair,J,I1,66.3,58.0,8.26,8.18,5.45,6289
18140,0.61,Premium,D,SI1,61.6,58.0,5.37,5.34,3.3,1614
10325,0.25,Very Good,E,VVS2,62.2,61.0,3.98,4.03,2.49,548
13324,0.8,Very Good,F,SI2,61.0,60.0,5.95,5.98,3.64,2460
12966,0.44,Premium,G,SI1,60.1,60.0,4.95,4.86,2.95,990
5506,0.75,Ideal,D,VS1,62.4,56.0,5.79,5.84,3.63,3961
24510,2.13,Ideal,H,SI2,61.8,57.0,8.21,8.25,5.09,15288
6779,0.7,Very Good,F,SI1,63.3,59.0,5.57,5.62,3.54,2264
25894,0.41,Ideal,G,VS1,60.8,56.0,4.82,4.79,2.92,961
1476,1.61,Premium,F,SI1,60.2,58.0,7.61,7.65,4.59,10477
21447,0.48,Premium,E,VS2,62.5,61.0,5.01,4.97,3.12,1323
4218,0.34,Ideal,D,VS2,62.9,56.0,4.5,4.44,2.81,1033
22505,1.15,Very Good,H,SI2,,57.0,6.68,6.72,4.15,4654
15853,2.0,Fair,H,SI1,65.6,58.0,7.92,7.76,5.15,15762
13802,0.31,Ideal,F,IF,60.7,56.0,4.42,4.45,2.69,901
24363,0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1771
19123,1.0,Premium,D,SI1,61.5,60.0,6.34,6.38,3.91,5390
8236,1.55,Ideal,D,SI1,61.7,57.0,7.47,7.43,4.59,9565
25473,0.54,Ideal,H,VVS1,61.9,54.0,5.22,5.25,3.24,1774
18353,0.71,Premium,G,SI1,61.3,57.0,5.74,5.72,3.51,2386
17422,1.01,Very Good,G,SI2,63.0,58.0,6.29,6.34,3.98,3966
4951,0.3,Ideal,F,VVS1,61.7,57.0,4.28,4.31,2.65,1041
7572,0.36,Premium,D,SI1,60.4,58.0,4.64,4.6,2.79,851
7152,1.0,Premium,E,VS2,60.4,57.0,6.49,6.46,3.91,6720
496,0.81,Premium,G,SI2,59.0,57.0,6.14,6.1,3.61,2274
13318,1.04,Premium,H,VS2,62.7,61.0,6.48,6.44,4.05,5416
13631,0.82,Very Good,J,SI1,,57.0,5.88,5.94,3.72,2313
18588,1.01,Ideal,I,VS2,62.5,56.0,6.38,6.41,4.0,5855
3098,1.12,Very Good,G,I1,61.2,63.0,6.68,6.59,4.05,3017
21270,1.0,Premium,H,VS1,62.4,58.0,6.43,6.4,4.0,4950
14854,0.27,Very Good,E,VS2,63.0,57.0,4.12,4.16,2.61,470
1580,0.8,Ideal,G,VS2,62.1,57.0,5.95,6.0,3.71,3494
23723,0.54,Premium,G,VS2,62.7,58.0,5.19,5.15,3.24,1637
24506,0.3,Premium,G,VVS1,,59.0,4.33,4.37,2.64,789
18232,0.33,Very Good,H,VVS1,62.5,55.0,4.43,4.47,2.78,692
3229,0.9,Premium,D,VS2,63.0,62.0,6.13,6.06,3.84,4586
9481,2.08,Premium,I,SI2,,58.0,8.18,8.13,5.08,14947
10883,1.6,Very Good,F,SI2,60.5,60.0,7.52,7.55,4.56,8377
23993,1.19,Premium,H,VS1,62.4,59.0,6.79,6.73,4.22,7277
23733,1.21,Ideal,H,SI1,61.1,57.0,6.91,6.83,4.2,6180
12085,0.5,Ideal,I,VVS2,60.5,57.0,5.14,5.17,3.12,1640
17262,0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64,2816
14550,0.7,Very Good,I,VS2,62.8,55.0,5.63,5.67,3.55,1867
1294,1.14,Ideal,H,SI1,61.6,57.0,6.7,6.75,4.14,5003
12250,1.21,Premium,J,VS1,,60.0,6.99,6.9,4.13,5556
26753,1.16,Premium,F,VVS1,60.4,60.0,6.9,6.77,4.13,10809
10213,0.59,Very Good,F,VVS2,63.5,59.0,5.28,5.3,3.36,2302
11478,0.9,Premium,G,VS2,62.8,60.0,6.14,6.08,3.84,4052
5635,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,3777
12355,0.34,Ideal,D,SI1,62.0,55.0,4.53,4.5,2.8,750
17691,0.8,Good,E,VS2,64.5,56.0,5.8,5.86,3.76,3273
10730,1.01,Ideal,H,SI1,62.4,53.0,6.47,6.42,4.02,4642
19098,0.36,Ideal,F,SI1,62.7,57.0,4.56,4.53,2.85,667
18352,0.57,Ideal,I,VS1,62.2,55.0,5.28,5.33,3.3,1448
13249,0.57,Good,H,VS1,63.7,51.0,5.36,5.29,3.39,1728
2033,0.7,Ideal,F,SI1,62.6,55.0,5.67,5.7,3.56,2410
8844,0.36,Premium,E,VS2,62.0,58.0,4.54,4.56,2.82,789
6037,0.59,Ideal,I,SI1,61.7,55.0,5.41,5.39,3.33,1352
14243,0.31,Ideal,D,VVS2,62.0,56.0,4.35,4.37,2.7,1034
20527,0.7,Very Good,F,SI1,59.8,60.0,5.75,5.83,3.46,2196
974,1.5,Good,G,SI1,59.7,65.0,7.46,7.34,4.42,9954
12751,1.03,Ideal,E,SI1,62.0,55.0,6.46,6.5,4.02,5411
25456,2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,16304
18864,0.72,Premium,J,VVS1,61.4,61.0,5.77,5.7,3.52,2203
24145,1.62,Ideal,G,VS1,62.7,56.0,7.44,7.51,4.69,15246
6624,1.09,Ideal,G,VS2,60.9,57.0,6.69,6.72,4.08,6617
5529,1.05,Premium,G,SI2,61.8,60.0,6.49,6.46,4.0,4198
21160,2.01,Good,H,I1,61.7,63.0,7.91,7.94,4.89,7959
20896,0.41,Ideal,D,VS2,62.4,55.0,4.79,4.76,2.98,1076
18271,0.41,Ideal,E,SI1,62.6,57.0,4.72,4.73,2.96,755
18021,0.39,Ideal,D,VS1,61.8,54.0,4.69,4.73,2.91,988
16769,1.05,Very Good,G,VS1,62.3,56.0,6.45,6.51,4.04,7010
9646,0.36,Ideal,E,SI1,61.6,56.0,4.56,4.59,2.82,631
1347,1.03,Fair,I,SI1,57.4,61.0,6.67,6.71,3.84,3892
14660,0.74,Ideal,H,VVS1,61.1,56.0,5.84,5.91,3.59,3804
23071,0.4,Premium,D,VS1,60.9,58.0,4.81,4.78,2.92,1200
26874,0.39,Ideal,E,VVS2,60.5,57.0,4.72,4.74,2.86,1300
25552,0.51,Ideal,H,SI2,62.5,55.0,5.1,5.14,3.2,983
1724,0.7,Very Good,F,SI1,61.7,61.0,5.67,5.7,3.51,2230
13683,0.73,Ideal,E,VS1,61.4,55.0,5.8,5.82,3.57,3471
1734,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3676
19494,1.06,Premium,H,VS1,60.0,58.0,6.65,6.61,3.98,5236
23898,0.91,Very Good,E,SI2,63.4,58.0,6.15,6.09,3.88,3379
7850,0.32,Premium,G,SI1,62.5,58.0,4.43,4.4,2.76,612
7979,0.33,Premium,I,SI1,61.4,58.0,4.5,4.46,2.75,572
708,0.9,Good,J,SI2,,56.0,6.1,6.17,3.92,2693
25483,0.31,Premium,D,VS2,61.2,59.0,4.32,4.37,2.66,734
24491,1.5,Very Good,I,VS2,58.4,61.0,7.42,7.48,4.35,8662
5167,0.35,Ideal,I,IF,62.5,55.0,4.54,4.52,2.83,945
6433,2.01,Good,I,SI1,58.8,60.0,8.27,8.19,4.84,16731
1290,0.28,Ideal,E,VS1,62.0,56.0,4.21,4.18,2.6,625
5676,1.34,Very Good,H,SI2,61.1,63.0,7.08,7.01,4.3,4352
23621,0.74,Premium,E,VS2,62.7,58.0,5.72,5.77,3.6,3285
8873,1.09,Ideal,E,IF,60.1,58.0,6.68,6.72,4.03,15193
5168,0.9,Premium,D,SI1,62.7,58.0,6.15,6.09,3.84,4304
11258,0.3,Ideal,H,SI1,61.9,54.0,4.31,4.34,2.68,514
17968,1.5,Good,I,I1,62.6,63.0,7.19,7.25,4.52,4620
11605,0.47,Ideal,H,SI1,61.1,55.0,5.04,5.07,3.09,787
3486,1.01,Ideal,G,IF,62.2,61.0,6.34,6.4,3.96,8957
25612,2.01,Fair,E,SI2,65.5,56.0,7.84,7.79,5.12,11156
17665,1.54,Ideal,G,VS1,61.2,56.0,7.45,7.46,4.57,14278
21463,0.31,Ideal,E,VVS1,62.4,56.0,4.35,4.37,2.72,801
5171,0.42,Ideal,G,VVS1,62.8,55.0,4.78,4.8,3.01,1245
400,0.32,Premium,G,VS2,62.3,58.0,4.41,4.36,2.73,720
8158,1.53,Very Good,E,VS1,60.7,60.0,7.38,7.52,4.52,14931
19891,1.51,Good,I,VS2,62.2,59.0,7.19,7.3,4.51,8951
19284,0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080
26701,0.3,Premium,H,VS1,60.4,61.0,4.34,4.3,2.61,675
8547,0.55,Ideal,E,VS1,61.1,55.0,5.3,5.33,3.25,1975
5976,0.46,Ideal,F,SI1,62.5,56.0,4.94,4.92,3.08,1018
19287,0.38,Ideal,E,IF,62.7,55.0,4.61,4.67,2.91,1433
21954,1.37,Ideal,G,IF,62.3,54.0,7.11,7.15,4.43,13439
10409,0.95,Very Good,D,SI2,60.1,61.0,6.35,6.37,3.82,4418
26060,0.51,Ideal,D,IF,62.0,56.0,5.14,5.18,3.2,3446
4023,0.66,Ideal,G,SI1,61.7,55.0,5.64,5.6,3.47,1885
26360,0.3,Ideal,E,VVS1,61.4,56.0,4.33,4.37,2.67,895
12409,0.4,Ideal,J,SI1,62.2,57.0,4.71,4.74,2.94,552
4495,0.51,Ideal,G,VS1,59.7,57.0,5.2,5.25,3.12,1656
17581,0.43,Ideal,H,SI1,62.5,57.0,4.84,4.79,3.01,919
22810,0.77,Very Good,I,VS2,63.2,58.0,5.79,5.85,3.68,2513
4420,1.34,Premium,D,SI2,61.5,58.0,7.04,7.07,4.34,7305
4069,1.0,Ideal,F,SI1,60.0,57.0,6.45,6.41,3.86,4939
17593,0.37,Premium,D,VVS2,60.7,59.0,4.66,4.63,2.82,1038
9826,1.02,Premium,F,SI2,60.4,60.0,6.53,6.49,3.93,4238
13686,1.07,Ideal,F,SI1,62.3,53.0,6.57,6.59,4.1,6049
6002,0.7,Premium,G,VS2,60.8,58.0,5.75,5.8,3.51,2317
4794,0.5,Premium,E,SI2,59.4,60.0,5.21,5.16,3.08,1181
9861,1.71,Premium,E,SI1,59.1,58.0,7.76,7.8,4.6,14882
24662,0.32,Ideal,H,VVS1,62.7,55.0,4.37,4.4,2.75,692
17370,0.72,Ideal,H,VS2,61.7,57.0,5.74,5.77,3.55,2594
25231,0.65,Premium,E,SI1,58.5,58.0,5.68,5.64,3.31,1708
2696,1.24,Very Good,I,VS2,60.1,59.0,6.95,7.02,4.2,5783
7550,0.54,Ideal,D,VVS2,61.4,52.0,5.3,5.34,3.26,2897
4592,1.02,Fair,I,SI2,66.2,57.0,6.34,6.26,4.17,3290
3895,0.41,Premium,E,VVS2,60.9,60.0,4.81,4.82,2.93,1187
16681,0.31,Ideal,G,VS2,62.2,54.0,4.38,4.4,2.73,562
2098,1.01,Premium,H,SI1,62.3,61.0,6.39,6.32,3.96,4513
19137,0.54,Good,G,VS2,63.2,55.0,5.15,5.2,3.27,1422
907,0.58,Premium,G,VVS2,61.5,60.0,5.37,5.33,3.29,1975
13704,0.31,Ideal,E,VS2,61.6,57.0,4.35,4.38,2.69,680
13032,0.53,Ideal,D,VS2,,56.0,5.2,5.22,3.21,2266
23462,0.59,Ideal,D,SI1,61.6,57.0,5.41,5.44,3.34,1743
25861,0.51,Ideal,E,VS2,60.4,57.0,5.15,5.18,3.12,1656
10875,1.01,Very Good,E,SI2,62.8,57.0,6.35,6.38,4.0,4355
18630,0.4,Ideal,D,SI1,61.3,57.0,4.74,4.79,2.92,726
16567,1.21,Premium,I,SI1,62.0,56.0,6.89,6.83,4.25,5285
